numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,4,2018-04-25 00:00:00+00:00,PAUDERNEY AVELINO,DEM,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,8500.00,0.00,8500.00
2018,2,2018-04-24 00:00:00+00:00,ADAIL CARNEIRO,PODE,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,01806823000252,NORTH STAR TAXI AEREO LTDA,6000.00,0.00,6000.00
2018,3,2018-04-18 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,21136.00,0.00,17861.70
2018,3,2018-04-18 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,21136.00,0.00,3274.28
2018,4,2018-04-17 00:00:00+00:00,ROCHA,PSDB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,07918532000151,AEROBRAN TAXI AEREO LTDA - EPP,1334.00,0.00,1334.00
2018,4,2018-04-16 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,6800.00,0.00,6800.00
2018,4,2018-04-13 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,6000.00,0.00,6000.00
2018,4,2018-04-13 00:00:00+00:00,NILSON PINTO,PSDB,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04756482000165,JUTA JUNQUEIRA TAXI AEREO LTDA,6000.00,0.00,6000.00
2018,4,2018-04-13 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,4000.00,0.00,4000.00
2018,4,2018-04-12 00:00:00+00:00,ARNALDO JORDY,PPS,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,07326869000170,PIQUIATUBA TÁXI AÉREO LTDA,4000.00,0.00,4000.00
2018,3,2018-04-11 00:00:00+00:00,RAIMUNDO GOMES DE MATOS,PSDB,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,01274847000127,TERRAL TAXI AEREO LTDA - EPP,7800.00,0.00,7800.00
2018,4,2018-04-09 00:00:00+00:00,CLARISSA GAROTINHO,PROS,RJ,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02012862000160,LATAM AIRLINES BRASIL,1760.90,0.00,1760.90
2018,4,2018-04-09 00:00:00+00:00,CLARISSA GAROTINHO,PROS,RJ,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02012862000160,LATAM AIRLINES BRASIL,1561.44,0.00,1561.44
2018,4,2018-04-09 00:00:00+00:00,CARLOS SOUZA,PSDB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,14000.00,0.00,14000.00
2018,3,2018-04-09 00:00:00+00:00,ANTONIO IMBASSAHY,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,14500.00,0.00,14500.00
2018,3,2018-04-09 00:00:00+00:00,CARLOS SOUZA,PSDB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,14000.00,0.00,14000.00
2018,3,2018-04-09 00:00:00+00:00,CARLOS SOUZA,PSDB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,8000.00,0.00,8000.00
2018,3,2018-04-09 00:00:00+00:00,JUTAHY JUNIOR,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,9500.00,0.00,9500.00
2018,3,2018-04-09 00:00:00+00:00,JUTAHY JUNIOR,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,22000.00,0.00,22000.00
2018,1,2018-04-09 00:00:00+00:00,CARLOS SOUZA,PSDB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,4550.00,0.00,4550.00
2018,4,2018-04-06 00:00:00+00:00,FRANCISCO CHAPADINHA,PODE,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TÁXI,5500.00,0.00,5500.00
2018,4,2018-04-05 00:00:00+00:00,ARNALDO JORDY,PPS,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,05897794000151,STILUS TAXI AEREO LTDA,7000.00,0.00,7000.00
2018,3,2018-04-05 00:00:00+00:00,IRACEMA PORTELLA,PP,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04114985000137,TOP LINE TAXI AEREO LTDA,9550.00,0.00,9550.00
2018,4,2018-04-02 00:00:00+00:00,NILSON PINTO,PSDB,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,05897794000151,STILUS TAXI AEREO LTDA,7000.00,0.00,7000.00
2018,3,2018-03-29 00:00:00+00:00,MOISÉS DINIZ,PCdoB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03007932000154,ZANATUR AGENCIA DE VIAGENS E TURISMO LTDA,18500.00,0.00,18500.00
2018,3,2018-03-26 00:00:00+00:00,ODORICO MONTEIRO,PSB,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02148827000172,TAXI AEREO FORTALEZA LTDA,9000.00,0.00,9000.00
